Restaurant Name,URL,Restaurant Stars,No. Of Reviews,Categories,# Of Categories,Price,Reviewer Name,Review Stars,Date Of Review,Review,Review Length,Reviewer Location,LocationB,Useful,Funny,Cool
At Random,https://www.yelp.com/biz/at-random-milwaukee?osq=Bars,4,214,Cocktail Bars,1,2,Charley B.,5,2/19/2021,"Ice cream cocktails. That's all you need to know.I recommend the Pink Squirrel.If you're not into ice cream that's okay. They have plenty of classic cocktails, too. The venue is a remodeled one-story house whose garage has been transformed into a bar for the backyard patio. You can grab a seat at one of the picnic tables or if you're looking for a little privacy, snag one of the private huts.This is a cool place, in a very cool neighborhood.I highly recommend.",82,"Kansas City, KS",0,1,0,0
At Random,https://www.yelp.com/biz/at-random-milwaukee?osq=Bars,4,214,Cocktail Bars,1,2,Torrie B.,5,11/19/2021,"Imagine being inside a slow globe - dim lights, the perfect music, a delicious, well crafted drink. A warm, beautiful place to enjoy while the wind whips outside. You will never be disappointed with an old fashioned, punch, or the ice cream drinks. Go support this lovely place with lovely service, especially around the holidays! It'll definitely give you that warm & fuzzy feeling. Cheers!",65,"Milwaukee, WI",1,1,0,0
At Random,https://www.yelp.com/biz/at-random-milwaukee?osq=Bars,4,214,Cocktail Bars,1,2,Lynn W.,5,12/08/2021,"Lots of variety - something for everyone and during winter they have the heated ""bubbles"" outside - must make reservation online for thatAlso have several hot drinks and other libations available",31,"Greendale, WI",0,0,0,0
Blu,https://www.yelp.com/biz/blu-milwaukee?osq=Bars,4,133,"Lounges, Wine Bars, Cocktail Bars",3,3,Whitney A.,5,2/21/2022,"Afternoon tea at the Pfister was my Christmas gift to my family, and our experience was so special. Tea service is taken at Blu on an upper floor of the Pfister Hotel. We happened to have an incredibly sunny day so we had spectacular views of the Milwaukee waterfront. The bar & lounge has huge windows and is richly appointed with plush velvet seating and a baby grand piano. We had a pianist playing Christmas and show tunes during our tea, making it extra special.The tea service starts with an introduction to the tea options, and then your tea is brought out in silver pots and kept warm over wax burners at your table. Then you are served amazing little tea pastries and sandwiches. There are tea varieties to suit every palate including a few uncaffeinated options, and they offer some dried fruits and spices to add to your steeping tea. I loved the elegant pots and bone china cups/saucers/plates. And the silver trays that the eats were brought out on were just as delightful. My midwestern in-laws were initially suspicious that they could fill up on the food provided, but no one left hungry, we were all stuffed at the end of our nearly 2 hour tea experience. They were even able to accommodate us with one vegetarian tray option despite my forgetting to give prior notice. Impressed. The whole afternoon was classy, fun, and delicious. I can't recommend it enough for a special occasion splurge. Dress up to make it feel extra!",254,"Spokane, WA",0,1,0,1
Blu,https://www.yelp.com/biz/blu-milwaukee?osq=Bars,4,133,"Lounges, Wine Bars, Cocktail Bars",3,3,Jeff R.,4,2/26/2022,4.5 stars.    View - 5 stars.Drinks - 5 stars.Service - 4.5Music / entertainment / ambience - 5 stars.Drink prices . . . take out a loan.,27,"Brookfield, WI",0,0,0,0
Blu,https://www.yelp.com/biz/blu-milwaukee?osq=Bars,4,133,"Lounges, Wine Bars, Cocktail Bars",3,3,Jennifer C.,4,4/18/2021,"My friends and I decided to come here because we always wanted to have tea here but never did. When someone mentioned it, we all jumped at the chance to catch up, especially after a year that everyone has had.A reservation is needed for reason make sure you do that! You can pick from a couple menus and there is a child friendly menu. Because of COVID-19, we couldn't smell the tea but they were pretty good at describing the teas to us. Once we picked the tea, we got our own tea pot of tea. We also got our tea snacks - they were all so delicious! There was savor & sweet so it hit the spot for me.I will definitely be back",124,"Milwaukee, WI",1,1,0,2
Blu,https://www.yelp.com/biz/blu-milwaukee?osq=Bars,4,133,"Lounges, Wine Bars, Cocktail Bars",3,3,Apurba B.,5,03/06/2021,"I enjoyed a beautiful afternoon at the Blue at the Pfister celebration International Women's Day early with Tea. The server explained to us the 13 different tea blends and recommended tea infusions depending on what we were looking for. I chose the hibiscus plum tea which is tart fruity and very delicious. The tea offering came with a decadent offering of finger sandwiches and sweet pastry. The caviar finger sandwich was to die for and the fruit custard tartlet went very well with the tea. They instructed us on food pairings a d took very good care of us. It is such a great ambience with live piano music and the beautiful beautiful vistas of Lake Michigan.  An afternoon never to be forgotten, treat yo self at the Blu in the Pfister. Its a treat for the eyes, ears , mouth and the soul",144,"West Allis, WI",0,1,0,4
Blu,https://www.yelp.com/biz/blu-milwaukee?osq=Bars,4,133,"Lounges, Wine Bars, Cocktail Bars",3,3,Gary W.,5,3/13/2021,"Came here again and was not disappointed!! Randy behind the bar was stellar. Great drinks, chocolate cake was very good as well. The views are wonderful!! Like to be up there for sunset!! Romantic and nice jazz music Friday and Sat!!",41,"Palm Coast, FL",0,1,0,3
Blu,https://www.yelp.com/biz/blu-milwaukee?osq=Bars,4,133,"Lounges, Wine Bars, Cocktail Bars",3,3,Sharon B.,2,7/30/2020,My husband & I made a reservation to celebrate our wedding anniversary on Sat July 18th @ 9:30p. Prior to coming into the Blu all guests must wear masks before entering which is great & all employees wore their masks as well. We were told our waitress would come soon but we waited awhile before anyone came & was going to leave. When our waitress finally came she was pleasant but we noticed our waitress was the bartender. We assumed they were short staff because our waitress had our table on top of handling the bar. We had to wait awhile for our waitress to come back to order another drink & told her right away we wanted our check. We were disappointed  since we were celebrating our special day & did not get the service we deserved. The guitar player that evening played beautifully & was glad we were able to enjoy his music (live music is played from 6-10p only).,162,"Milwaukee, WI",1,1,0,0
Blu,https://www.yelp.com/biz/blu-milwaukee?osq=Bars,4,133,"Lounges, Wine Bars, Cocktail Bars",3,3,Stephanie H.,5,10/27/2019,"Blu is an absolutely gorgeous gem here in Milwaukee.  It's on the 23rd floor inside the Pfister and it offers beautiful views of the city.  There's live music, usually something jazzy, good service and nice cocktails.  This is a fun stop at night time for the views and a definite stop if you have any visitors.  Come check it out!",60,"Milwaukee, WI",1,4,2,6
Blu,https://www.yelp.com/biz/blu-milwaukee?osq=Bars,4,133,"Lounges, Wine Bars, Cocktail Bars",3,3,Isiah K.,5,4/17/2021,"I definitely recommend this spot. It was very relaxed. Great vibe, live music, offers small plates, cocktails, beer, and wine. We had wine, the cheese board, spicy popcorn, and the truffle chips w/ blue cheese. The lighting is super dim so not pictures of food. It's on the 23rd floor of the Pfister hotel. If you want to enjoy a night of music, great customer service,  wine before dinner, check out Blu!",72,"Milwaukee, WI",1,0,0,0
Blu,https://www.yelp.com/biz/blu-milwaukee?osq=Bars,4,133,"Lounges, Wine Bars, Cocktail Bars",3,3,Brandon J.,5,04/08/2021,"The best spontaneous experience I have ever had!!Amazing service, friendly staff, beautiful live music, 10 out of 10 for the views alone, and the food just as amazing highly recommend. Definitely will not disappoint.-Longer Review Below My friend and I were celebrating her 21st birthday and I wanted to surprise her with an out of state rooftop bar experience. Originally we planned to go to a different bar but at that time they were booked for the next 2 hours. (We were not going to wait that long haha). So we spent 20 minutes driving around trying to find the spot for us. Blu was our last effort before giving up and looking back on it now it was a huge blessing in disguise. As soon as we arrived there was no wait time at all, the hostess notified us that there was one more window seat available for me and my friend. This gave us the perfect view of downtown at night (See Picture). She was super kind, very reassuring and made sure we were comfortable before leaving. The menu was simple and easy to access through scanning the QR code. The food looked so good but we were there for the drinks that day hehe. We ordered a Mango Mojito and the Cheese Board (cheese is a must when in Wisconsin hehe). In honesty, the Cheese Board did take a pretty long time to arrive but honestly me and my friend were too busy enjoying the drinks and the views to care. Did I also mention they have live music, I don't want to spoil it but the nice jazz and piano playing is beyond words better than any place I have heard so far :).The cheese board was literally amazing I don't know what made this taste so good but me and my friend loved every bit of it. The drink? Even better! I highly recommend everyone to get and/or try this if you have not already. The fruity flavor is not super noticeable but neither is the alcohol as well. Its a perfect mix were nothing stands out too much but just enough to taste everything and leave you wanting more. By the end of this the waitress came by and dropped off some free dessert for us. Why you may ask? Well they felt back for taking a bit long with the Cheese Board that they gave us a place of free dessert which has a couple of little small sweet snack as part of it. (I guess this also worked out as a nice birthday dessert for my friend haha). The staff was so kind and considerate, even giving us free dessert when we had no issues about wait time at all. We were seated immediately and had beautiful piano playing through the entire night. The views were stunning and one of a kind. The food and drinks were definitely better than expected. I beg anyone traveling down to Milwaukee to please take a night to stop by Blu's. Highly worth it, Pretty standard price range, and Amazing views once again. You wont regret this choice.",522,"Chicago, IL",0,0,0,0
Blu,https://www.yelp.com/biz/blu-milwaukee?osq=Bars,4,133,"Lounges, Wine Bars, Cocktail Bars",3,3,Ardeshir R.,5,7/26/2019,"The place is gorgeous and upscale. It's located at one of the top floors of the hotel. The hotel lobby, and the lounge environment are fabulous.We went here for live jazz. The performance was great. The bartenders were nice and helpful and I absolutely loved the martinis they made for me. It is on the pricy side, but it was worth it as the drinks were very strong yet delicious.Just note two points:1- the food options are very limited, just some snacks and appetizers. So, don't go there hungry.2- they neither make reservations nor seat you. So, when it's crowded, it's challenging to find a spot specially if you have a large group.",113,"Buffalo, NY",0,1,0,2
Who’s On Third,https://www.yelp.com/biz/whos-on-third-milwaukee?osq=Bars,4,258,"Sports Bars, American (Traditional)",2,2,Timothy A.,5,08/03/2021,"Stopped to grab lunch while visiting downtown Milwaukee. Got a great table outside to enjoy the sunshine and fresh air. My wife and I both ordered wraps and they were both excellent. Very large wraps with lots of ingredients inside. My wife ordered chips, I got cole slaw as my side and it was also very good. Prices were not out of line at all and you got plenty of food for the price. Really an overall 5-star experience. I will definitely come back.",84,"Madison, WI",0,0,0,0
Who’s On Third,https://www.yelp.com/biz/whos-on-third-milwaukee?osq=Bars,4,258,"Sports Bars, American (Traditional)",2,2,Stephanie G.,4,4/21/2022,"I was expecting a dive bar and was pleasantly surprised to walk into a legit sports bar. The place was clean, blasting Blink 182 and Green Day which took me back to my youth, and cheap beer on draft. The cheese curds were delicious. The service was a bit off on the night I went which is the only reason for minus 1 star. I received an entree different from what I ordered and I ordered a bottle of beer instead of draft. Minor things, no big deal. Still had a great time. This place during the summer or a big sports night would be a blast.",107,"Saint Paul, MN",0,2,0,2
Who’s On Third,https://www.yelp.com/biz/whos-on-third-milwaukee?osq=Bars,4,258,"Sports Bars, American (Traditional)",2,2,Hayden S.,4,3/22/2022,"Came for dinner before a concert. Party of 5. Parking can be very difficult to find and will likely require a walk. But with location... this is to be expected. Service was average. Not great. But food was very good. Burgers were great, cheese curds were the real thing. Wings were delicious- especially the honey buffalo bacon! Gluten free burger bun was also very good considering it was gluten free. Great visit.",72,"Marion, IN",0,1,0,1
Who’s On Third,https://www.yelp.com/biz/whos-on-third-milwaukee?osq=Bars,4,258,"Sports Bars, American (Traditional)",2,2,Kathleen B.,5,3/20/2021,Always satisfied when I come to Who's on Third. One of my favorite wing places in Milwaukee. The sweet habanero and Sriracha ginger are my two favorite sauces they offer! Their cheese curds are also very solid as well as their chicken tenders- the beer batter they use (with Riverwest Stein) is phenomenal. Great spot to get a beer and some above average bar food!,65,"Milwaukee, WI",1,1,0,0
Who’s On Third,https://www.yelp.com/biz/whos-on-third-milwaukee?osq=Bars,4,258,"Sports Bars, American (Traditional)",2,2,Genevieve K.,3,09/06/2021,"Who's would normally be 5 stars for me, but today I did not love my lunch experience. We arrived for lunch around 12:05pm and did not get our food until 1:30pm. I would say our server checked in on us 3-4 times before taking our order and we had to ask for our food to be checked on because we had been waiting for so long. The service was polite and friendly, but it did feel like we were a bit of an afterthought because I would say 3-4 tables that were seated after us got their food before us and we were a party of 2. We weren't in a rush at all, so it ended up being fine, but if I had somewhere to be I definitely would've been late. The food itself was great and once we followed up we probably got our food within ten minutes (after waiting for about 45). The bloodies we had were really good and we had awesome wraps with Who's sauce on the side for fries. I would still recommend Who's always to watch games, use the shuttle, have lunch, etc.",190,"Haymarket, Milwaukee, WI",0,0,1,1
Who’s On Third,https://www.yelp.com/biz/whos-on-third-milwaukee?osq=Bars,4,258,"Sports Bars, American (Traditional)",2,2,Paul B.,5,11/13/2021,"Pretty standard bar, but the service here was incredible. Despite the being pretty busy, as soon as we were getting a little low on a drink, a bartender would come, with different suggestions, and fulfill our drink orders. They checked up on us often, the drink selection was good, and so was the music. Overall fun place for a drink",60,"Pittsburgh, PA",0,0,0,0
Who’s On Third,https://www.yelp.com/biz/whos-on-third-milwaukee?osq=Bars,4,258,"Sports Bars, American (Traditional)",2,2,Elizabeth M.,5,10/05/2020,"This is the perfect sports bar!! I came here on a Monday night to watch the Packers game with some friends and had so much fun. The staff was attentive, the food was good, and the environment was very lively for a Monday. COVID Precautions: Great! All servers wore masks and patrons were required, I even saw them turn customers away because the didn't have masks. They throughly cleaned each table between groups as well.",75,"Austin, TX",0,0,0,1
Who’s On Third,https://www.yelp.com/biz/whos-on-third-milwaukee?osq=Bars,4,258,"Sports Bars, American (Traditional)",2,2,Thuy Dan T.,4,3/25/2020,"We came here craving some classic American BBQ food and were not disappointed! Grease at it's finest, but it was Sunday Funday so we deserved it. They give the classics a twist which is a breath or fresh air. I started with a blood mary which was A-OK and I added some tabasco to give it a little more kick. The bacon mac and cheese brat was hearty and delicious. SO much crispy bacon pieces and could have used some more ooey gooey mac and cheese, but that was probably better without taking a lactate beforehand. The chips were deliciously crispy! I wish it was paired with an aioli or another sauce, but ketchup/pepper was still good. We also ordered the BBQ pulled pork sandwich which included onion rings and poblano peppers. The BBQ sauce/ pulled pork was really good with the pepper. The onion rings were just OK to me but I like the toasted bread -- must eat quickly for the bread to hold. The fries were also nicely fried!",172,"Monterey Park, CA",0,7,4,10
Who’s On Third,https://www.yelp.com/biz/whos-on-third-milwaukee?osq=Bars,4,258,"Sports Bars, American (Traditional)",2,2,Viv P.,4,03/11/2020,"SERVICE: super friendly! as good as it gets~VIBE: great bar experience. On a Tuesday night at 6, the place was pretty empty, but then filled up, so by the time we left around 7, it was quite full. FOOD: wings - We got the dry rub wings. Not the best I've had (""Buckets Pub"" yum), but okburger and fries - great fries, great burger. Totally worth the Tuesday Special Great walking distance to the Marcus theater and Fiserv stadium.",79,"Milwaukee, WI",1,3,0,4
Who’s On Third,https://www.yelp.com/biz/whos-on-third-milwaukee?osq=Bars,4,258,"Sports Bars, American (Traditional)",2,2,Serge R.,1,10/25/2021,"Have you seen those episodes of Bar Rescue where the owner's son get's smashed at his Father's bar and drives out all the customers every night? Well this is another one of those places, except I don't know if this guy is actually related to ownership. We where there for Sunday Night Football as we thought it was a good sports bar. Instead we found a sports themed bar more interested in playing Celine Dion, Spice Girls, and Mariah Carey back to back with this belligerent fool mumbling into a microphone. He was clearly intoxicated, putting his arms around us and others and not making any sense at all. I had to tell the staff that the game was even on. At some point a manager came out and was clearly kicking the guy out. We paid and left and would not recommend this place for an actual sports fan.",150,"San Francisco, CA",0,3,2,1
Tiki Bar MKE Public Market,https://www.yelp.com/biz/tiki-bar-mke-public-market-milwaukee?osq=Bars,5,7,"Bars, Seafood",2,,Marcus K.,5,4/17/2022,We visited Milwaukee in January and stopped by the tiki bar on a Cold Saturday afternoon! We had checked out the public Market and were pleasantly surprised to find a cool little tiki bar in the back. The drinks were very stiff and did the job. The staff was very easy going and happy to be there. Definitely a cool pit stop if you are looking to escape the cold or have a nice libation after you do some shopping.,80,"Petaluma, CA",0,0,0,0
Tiki Bar MKE Public Market,https://www.yelp.com/biz/tiki-bar-mke-public-market-milwaukee?osq=Bars,5,7,"Bars, Seafood",2,,Genevieve K.,5,08/08/2021,"Tiki Bar is such a fun place to go on the weekends, especially when the weather is nice! We are all huge friends of their Miami Vice frozen drinks (strawberry daiquiris mixed with piña coladas). They have tons of fun drinks and the vibes are always great. Everyone there is always super friendly and in a great mood. It's not a huge space, just the bar and then another long ""bar"" on the sidewalk to stand at on either side. Definitely not a place to go to if you're looking to sit down at a table and have a drink, but it's always a great time with fun music and good company!",112,"Haymarket, Milwaukee, WI",0,0,0,1
Tiki Bar MKE Public Market,https://www.yelp.com/biz/tiki-bar-mke-public-market-milwaukee?osq=Bars,5,7,"Bars, Seafood",2,,Andie D.,5,1/29/2021,"Such a fun atmosphere!  My friend and I came for drinks on a Friday afternoon to kick off the weekend and had so much fun.  We each tried a margarita, but were really blown away at how good the ""Summertime"" cocktail was!  I imagine this spot is even more fun in the summer, but we still enjoyed the (normally) outdoor bar mid-winter since it was enclosed.  The bar had clear separation between groups, and didn't allow anyone in unless they could find an actual seat at the bar as a COVID precaution.  Overall a great time with delicious drinks!",99,"Milwaukee, WI",1,0,0,2
Tiki Bar MKE Public Market,https://www.yelp.com/biz/tiki-bar-mke-public-market-milwaukee?osq=Bars,5,7,"Bars, Seafood",2,,Marcos R.,5,10/26/2020,"Wow, I'm so surprised there are so few reviews for this bar.  I had a great time here.  It's on the back side of the Milwaukee Public Market.  I was there on a warm Sunday fall afternoon and I just assumed they close in the winter but the bar tenderess assured me that they are open 365 a year.  They apparently enclose the back area with tents and such and use heaters to keep folks warm.  The patron sitting next to me conferred. He said he's come here on a January afternoon and said it was like a 3 hour holiday.  I might have to give it a try next time.  They got flat screens to play football or whatever else and their bloody mary's are big and mean. Service was great too.  The staff were fun and kinda energetic and made things kinda pop'n.  Can't wait to come back next time I'm in town.",155,"Houston, TX",0,3,1,4
Tiki Bar MKE Public Market,https://www.yelp.com/biz/tiki-bar-mke-public-market-milwaukee?osq=Bars,5,7,"Bars, Seafood",2,,Lori M.,5,01/05/2019,"I kind of hate to review this place because selfishly we want it all to ourselves but what a shame that would be to not share the Tiki Bar with the rest of the world! Actually The Tiki Bar is not really new Patrick has been serving up drinks for awhile here but he did deserve to have his own following on Yelp because it is such cool, hip and amazing  place!The Tiki Bar is an extension off of St. Paul's Fish Market in the Public Market locates on Broadway. If you are ubering have your driver let you off on the Broadway side. You will know you are in the right place....because you'll see the Tiki Bar when you pull up!The Tiki Bar is a long narrow slice of heaven where you can experience all the seasons of Milwaukee and be part of all the Third Ward action. One of the things we love most about it, is in the summer its open air and this year they added heaters and plastic for winter! Which means it's super toasty but you can still observe all the fun and action in The Ward!Now let's get to why it's so special! The staff! First they pour a mean drink! You definitely get your dollars worth here. A few of my favorites that I've created my own pet names for ""Patrick's Rum Punch"" and my personal favorite ""Milwaukee Margarita"" again these are what my hubby and I call them not actual named drinks! The margarita is served on the rocks and i never get more than one....because I want to be able to walk afterwards haha! Patrick is my favorite thing about the Tiki! He knows everybody and if he doesn't know you he will make you feel like you've been his best friend for years! He loves the city of Milwaukee and takes great pride in The Tiki Bar! You will know him because he looks like a cross between The Gordon Fisherman and The Most Interesting Man In the World! He actually is one of the kindest souls and interesting people that I've ever met.I'll be honest on a summer afternoon or evening it's hard to find a seat but it's worth waiting for! With the heaters added it's pretty busy in the winter on weekends. The Tiki is a cross between your neighborhood bar (many locals frequent here) and a Tiki Bar in the Caribbean. Fun music, laid back staff, and an island vibe is an oasis in the middle of the vibrant Historic Third Ward. If you are attending any of the Summerfest festivals it's a safe five to minute walk from the main entrance up Chicago and turn right into Broadway...you'll be glad you made the trek!",460,"Bald Head Island, NC",0,2,0,5
Tiki Bar MKE Public Market,https://www.yelp.com/biz/tiki-bar-mke-public-market-milwaukee?osq=Bars,5,7,"Bars, Seafood",2,,Kathleen B.,5,12/02/2019,Favorite place in MKE!! What else can you want? You get St. Paul's food with an Island feel/atmosphere. I've never eaten inside because I just can't pass up a day at the tiki bar. Bartenders are phenomenal and the music is hard to beat!,44,"Milwaukee, WI",1,1,0,1
Tiki Bar MKE Public Market,https://www.yelp.com/biz/tiki-bar-mke-public-market-milwaukee?osq=Bars,5,7,"Bars, Seafood",2,,Nathan M.,5,01/04/2019,"An Island  in the middle of the cold tundra!!  Caribbean inspired bar complete with a thatch roof and reggae music. Now open all year with the addition of plastic enclosure and heaters. Patrick, Christopher and team will melt your worries away...no problem mon!!!  Also check them out when the Third Ward does the ice bars!!!",55,"Bald Head Island, NC",0,3,1,5
Gin Rickey,https://www.yelp.com/biz/gin-rickey-milwaukee?osq=Bars,3.5,6,Lounges,1,,Elyse F.,4,06/04/2018,"OMG. Those gin rickeys...definitely have one when you check out this great space in Milwaukee's Ambassador hotel. Allow a little extra time to walk around the art deco property & check out the black-and-white photo history along the walls.5 stars for cocktails, 5 stars for service, 3 stars for food - it was good, but not nearly as amazing as the cocktails were. I particularly enjoyed The Last Word in addition to the Gin Rickey.This would be a great spot for a date night, catching up with a small group of friends, or classy stop before an event.",98,"Minneapolis, MN",0,0,0,0
Gin Rickey,https://www.yelp.com/biz/gin-rickey-milwaukee?osq=Bars,3.5,6,Lounges,1,,Morgan A.,2,12/07/2021,This is the dishwasher at the hotel ambassador used for Gin-Rickey - I'm a former employee. Not disgruntled or sour grapes - this is about cleanliness and health/safety. Please avoid.,30,"Appleton, WI",0,0,0,0
Gin Rickey,https://www.yelp.com/biz/gin-rickey-milwaukee?osq=Bars,3.5,6,Lounges,1,,Amit G.,5,2/19/2018,"Nice place. Had a Mezcal drink and the spicy chicken sandwich. Has a cool 20s vibe to it. The bartender is very nice and friendly. The mezcal drink was smoky and hit the mark. The spicy chicken sandwich was delicious. And can't beat the coolness of the Ambassador hotel. If you live in Milwaukee, def check this place out.",59,"Houston, TX",0,2,0,1
Gin Rickey,https://www.yelp.com/biz/gin-rickey-milwaukee?osq=Bars,3.5,6,Lounges,1,,Krystle B.,1,7/20/2018,"My husband and I were staying at the hotel and wanted to get a bite to eat. We had been told by the wait staff that we could sit anywhere (the restaurant side or the bar side) because it was all the same. We had our room key that had the 25% off of your bill if we dined with them. My husband got a steak with potatoes and broccoli while I ordered the zuppa tuscana. I was served my soup right away. I went to give it back right away claiming I didn't order chili. She quickly responded that it was indeed Zuppa. I explained what zuppa was and a quick Google search would show it is NOTHING like this chili I was served. She claimed that this is the only way she's EVER seen Zuppa made. I highly doubt it. I took 2 bites and it was so salty I could have killed snails with it. I gave it back. It was not charged to our bill after I explained again it was definitely NOT zuppa and it was unedible. If they wanted me to show them REAL zuppa I could go to their kitchen and make it for them. My husband gets his order. It was plain. No seasonings. A rabbit could have put that plate together. It was a slab of steak (I will say it was cooked to the way he wanted it) small potatoes steamed and a broccoli slice that looked slightly grilled on 1 side. No seasonings or anything. It was just cooked, but not presented well at all. For the prices we were paying as well as the kitchen staff they claim to have, it was far from culinary art. If I can make it better at home and I don't have a culinary degree, I'm disappointed. If I go to a nice restaurant, I expect same or better food than what I can prepare myself. HUGE disappointment. Then to top it off. At the end of our dining experience, we go to pay the bill and present our 25% off room key for our bill. We were told by the staff, sorry we can't honor  that because we are the bar not the restaurant. We explained how we were told by their hostess that we could dine on either side and it was the same thing. So sorry, we have different promotions. By the way, the restaurant area is literally two steps away across the hall in a small room. It was like saying, if you sit at the Olive garden bar it's different than the booth seating behind you in the restaurant. We will never eat there again.",448,"Black Earth, WI",0,1,0,0
Gin Rickey,https://www.yelp.com/biz/gin-rickey-milwaukee?osq=Bars,3.5,6,Lounges,1,,Andy C.,5,2/26/2018,"I love bars in the historic buildings of Milwaukee, which includes a lot of wonderful hotels. The Ambassador Hotel is a testament to Art Deco architecture and decor, and it's earned it for being around for so long. The bar area, like the rest of the food and beverage services on the main floor, was recently upgraded. It's a beautiful place to drink classic cocktails, local beers and liquors, and of course my fave--bourbon old fashioned sweets! The kitchen stops food at 10 PM, so no late night munchies. The drinks are a bit pricey, but it's worth it for the environment and the bartenders. They're my favorite part! Talkative and welcoming. There's nothing more I could ask for than to drink classic 'tails in upscale looking places.",128,"Ann Arbor, MI",0,0,0,0
Gin Rickey,https://www.yelp.com/biz/gin-rickey-milwaukee?osq=Bars,3.5,6,Lounges,1,,Brooks R.,5,3/24/2018,"Excellent drinks, service and appetizers. Layout is a little awkward but doesn't take away from the experience.",17,"Madison, WI",0,0,0,0
NorthSouth Club,https://www.yelp.com/biz/northsouth-club-milwaukee?osq=Bars,4.5,37,"Bars, Axe Throwing, Team Building Activities",3,2,Kushal D.,5,4/22/2022,"This place is so much fun! It has a really great and social vibe. They have both shuffleboard and Axe throwing which are both a great time, especially with a group of friends. They do parties and events. They don't have too many snacks or food options, just average concessions but merriment social is right next door for a great post game dinner!",63,"Milwaukee, WI",1,0,0,0
NorthSouth Club,https://www.yelp.com/biz/northsouth-club-milwaukee?osq=Bars,4.5,37,"Bars, Axe Throwing, Team Building Activities",3,2,Ashley S.,5,4/17/2022,"This place is really cool! We came here for my dad's 60th birthday and rented a shuffle board lane. They have both shuffle board and axe throwing, which is cool. They have a huge bar and drink selections and some cool flight options. It's a great spot to get a group together and have some fun. I loved the decor!",60,"Huntsville, AL",0,29,5,26
NorthSouth Club,https://www.yelp.com/biz/northsouth-club-milwaukee?osq=Bars,4.5,37,"Bars, Axe Throwing, Team Building Activities",3,2,Wendy W.,4,5/13/2022,OMG best place ever. Very spacious and 6 TVs. You can even play Mario Brothers. Only suggestion would be more food  options.,22,"Janesville, WI",0,1,0,1
NorthSouth Club,https://www.yelp.com/biz/northsouth-club-milwaukee?osq=Bars,4.5,37,"Bars, Axe Throwing, Team Building Activities",3,2,Andie D.,5,8/22/2021,"So much fun!  I came here on a Saturday night with family that was visiting town for the weekend.  We were able to just walk in and get an open lane to try axe throwing!  There was an instructor that explained how to throw the axe, and watched us each take a few practice shots before letting us go for it on our own.  We struggled at first to get the axe to stick, but we eventually swapped out for a sharper axe, which was a game changer.  We definitely improved as time went on!I also loved the North meets South concept of this place - Axes for North and Shuffleboard for South.  Their cocktail menu was broken out with the same themes, super fun!  I'll be back to try Shuffleboard next time!",133,"Milwaukee, WI",1,1,0,4
NorthSouth Club,https://www.yelp.com/biz/northsouth-club-milwaukee?osq=Bars,4.5,37,"Bars, Axe Throwing, Team Building Activities",3,2,Mary W.,5,4/30/2022,Decided to play some shuffleboard this afternoon after walking by from Merriment Social. Madelyn R showed us how to play and was so nice and funny - even provided court-side drink service! Definitely will be back to try ax throwing.,40,"Madison, WI",0,0,0,0
NorthSouth Club,https://www.yelp.com/biz/northsouth-club-milwaukee?osq=Bars,4.5,37,"Bars, Axe Throwing, Team Building Activities",3,2,Mindy H.,5,2/19/2022,We had a fantastic time! Janessa was very attentive and kind. All of the staff made us feel very welcome. I would definitely return and recommend this place in the future.,31,"Milwaukee, WI",1,1,0,1
NorthSouth Club,https://www.yelp.com/biz/northsouth-club-milwaukee?osq=Bars,4.5,37,"Bars, Axe Throwing, Team Building Activities",3,2,Carly M.,4,11/20/2019,"Axe throwing of the north woods meets southern shuffle-boarding of the Florida retirees, and it was fun!This was an interesting concept, and executed well by the interior cabin-esque, palm tree accented space. I came here with a group of six on a Saturday night, having a reservation for 730. We arrived a little early to fill out the waivers (yes, you have to fill one out for shuffleboard). At first, I was not sure how the experience would go. Our reservation start time was running late, and it was difficult to be served at the bar. But around 745 a staffer found us and explained shuffleboard. The reservation of 90 minutes began and that was definitely enough time! Shuffleboard was really fun and surprisingly challenging. You get you own  drinks from the bar (I hope they add more tap beers) and there are supes cute sitting areas by each shuffleboard lane. I would urge caution with the biscuits and that they can be difficult to stop. I saw a few fly off the lane and hit spectators' feet. Maybe a small installed lip would help to stop them. Towards the back are the axe throwing lanes, which I did not use, but would return to try. This was new experience, and I plan to come back in the summer when the garage doors are up!",225,"Milwaukee, WI",1,12,4,9
NorthSouth Club,https://www.yelp.com/biz/northsouth-club-milwaukee?osq=Bars,4.5,37,"Bars, Axe Throwing, Team Building Activities",3,2,Sylvia H.,4,02/09/2022,"Came for a work event and had loads of fun! I have came before and it's always a good time!  Alexis was a lot of fun and a good bartender! But one thing that I will comment on, the new cheese for the pretzels isn't as good as the old cheese! You should change it",55,"Upper East Side, Milwaukee, WI",0,1,0,1
NorthSouth Club,https://www.yelp.com/biz/northsouth-club-milwaukee?osq=Bars,4.5,37,"Bars, Axe Throwing, Team Building Activities",3,2,Shara G.,5,12/30/2021,Fun ax throwing. Madeline superb customer service. Shuffleboard looks cool- more popular. Food portions not large.,16,"Palm Springs, CA",0,1,0,1
